first_name,last_name,age,act_score,sat_score
Elfrieda,Huels,21,20,1279
Larry,Brekke,24,24,1245
Dolly,Kris,19,3,1532
Ashleigh,Orn,18,25,556
Tess,Klein,19,34,1246
Shannon,Douglas,24,36,1383
Lacey,Rath,24,6,693
Vernie,Carroll,17,29,1227
Luz,Wolff,21,7,575
Colten,Weimann,24,16,625
Lorenz,Kirlin,20,30,419
Elisabeth,Beahan,22,17,404
Everett,Streich,18,18,1468
Wilhelmine,Goldner,22,24,735
Marlon,Bruen,19,34,1528
Lulu,Fritsch,22,33,772
Sage,Kozey,21,24,550
Ayla,Reinger,19,33,726
Ethyl,Schmeler,20,34,1104
Dakota,Mertz,23,33,858
Hoyt,Kuhn,17,18,983
Ashtyn,Veum,24,2,556
Kaden,Little,17,30,550
Devin,Rowe,24,7,1520
Duane,Terry,18,27,507
Tatyana,Christiansen,22,4,721
Ima,O'Connell,22,23,1048
Rudy,Green,21,21,453
Felix,Johnson,18,17,549
Kenny,Smitham,20,8,1408
Elody,Hoppe,22,13,1537
Amelie,McDermott,23,24,413
Vita,Ernser,18,2,455
Abby,Williamson,23,23,855
Camille,Ankunding,23,24,887
Brennan,Bosco,19,31,1504
Irving,Crona,18,20,1389
Pearl,Auer,23,31,671
Andy,Howe,21,33,1441
Frederique,Pfeffer,23,8,1470
Virginia,Emmerich,23,29,1168
Carleton,Hessel,22,26,1381
Chandler,Kutch,24,25,631
Dewayne,Waelchi,17,10,1022
Lambert,Nikolaus,24,30,655
Franz,Leffler,23,3,800
Araceli,Huel,22,33,1120
Jarod,Wilderman,24,26,747
Keaton,Wiza,22,20,1053
Brianne,Weber,24,13,564
Skyla,Kovacek,18,14,1114
Samson,Doyle,19,27,1464
Meda,Feil,17,24,1032
Sam,Schaefer,21,21,416
Lila,Funk,19,2,580
Laila,Gerlach,17,30,887
Mona,Runolfsson,24,28,452
Patricia,Flatley,18,23,1229
Collin,McGlynn,17,12,866
Akeem,Runolfsson,24,35,1600
Katrine,Monahan,18,18,842
Roberta,Quigley,22,12,629
Raphaelle,Von,24,11,1163
Velma,Wisozk,22,26,1243
Lonnie,Gorczany,19,30,511
Kenneth,Gerlach,23,16,767
Clifton,Powlowski,20,27,1164
Dewitt,Durgan,21,30,1199
Maida,Lind,24,14,1458
Ofelia,Little,20,14,689
Jaylin,Hermann,21,3,912
Norbert,Pouros,19,30,801
Dylan,Beahan,19,28,573
Guiseppe,Zboncak,20,12,631
Berta,Rodriguez,18,20,1596
Andrew,Harris,17,31,655
Daphne,Kemmer,19,33,985
Wendell,Heaney,19,1,983
Katelin,Becker,22,21,1572
Christiana,Sauer,17,4,1015
Lulu,Little,24,3,1383
Terrill,Leannon,19,27,1314
Wanda,Bins,23,27,735
Greta,Carroll,24,12,836
Charlene,Boyle,21,23,1468
Eliza,Jacobs,17,16,1184
Fredy,Corkery,19,27,949
Elmira,Runolfsdottir,19,10,651
Sylvester,Brown,18,22,1031
Alfreda,Ernser,24,25,692
Darius,Eichmann,23,12,1135
Heber,Smith,22,20,672
Vada,Bayer,20,30,841
Ramon,Brown,21,27,658
Vallie,Morissette,22,28,1103
Alfred,Little,22,26,967
Rafaela,Stroman,20,19,1181
Wayne,Yost,23,31,603
Marlee,Champlin,19,14,880
Ulices,Schuster,24,19,664
Elyse,Olson,17,15,1595
Connor,Kuhic,19,31,1598
Imani,Jacobi,20,36,827
Anibal,Bahringer,23,20,1055
Philip,Watsica,19,14,1094
Melba,Littel,21,18,1097
Gail,Hermann,22,19,933
Taylor,Rippin,20,7,666
Brielle,Wintheiser,21,13,934
Maxime,Goyette,24,11,1142
Makayla,Hettinger,17,32,605
Neal,Zboncak,17,33,1378
Meta,Ziemann,23,12,1586
Isai,West,19,31,1078
Ewald,Leannon,19,27,1464
Kaelyn,Dooley,18,18,869
Alexa,Boyer,18,14,1507
Lura,Kertzmann,17,24,1065
Garnet,Considine,23,4,612
Mohammed,Fadel,17,14,565
Brian,Gutkowski,17,16,1157
Walter,Hoppe,19,36,845
Nat,Hyatt,20,4,842
Benjamin,Gusikowski,19,29,1569
Forest,Prosacco,22,33,817
Bryce,Brekke,20,23,687
Pauline,Thompson,22,24,1179
Esther,Corkery,20,32,646
Eduardo,O'Reilly,22,24,1548
Mara,Ortiz,17,27,1528
Jodie,Bergstrom,18,32,559
Kacey,Aufderhar,24,5,721
Eliza,Fritsch,22,22,548
Antwon,Hammes,21,31,924
Alphonso,D'Amore,18,2,510
Justus,Reichel,22,28,1404
Nikolas,McCullough,23,32,1591
Grace,Hyatt,20,9,951
Isabell,Lebsack,19,2,1035
Clemens,Kassulke,20,35,522
Chaz,Beatty,22,30,1564
Green,Ward,22,21,634
Vernon,Windler,24,28,409
Jake,O'Connell,20,6,978
Sven,Crona,22,10,1091
Terrance,Harber,17,13,830
Reyes,Rice,23,11,1402
Clair,Armstrong,17,6,1564
Aniya,Kuhlman,24,29,598
Chyna,Rath,19,3,864
Waino,Veum,18,25,1556
Pansy,Weber,17,9,499
Sylvia,Rau,23,10,674
Camilla,Lynch,17,27,1186
Odell,Casper,23,4,1068
Cloyd,Hodkiewicz,18,13,1139
Yvette,Kessler,24,32,735
Ila,Crist,18,6,1131
Dimitri,Hartmann,22,2,598
Landen,Greenholt,23,18,984
Kali,Mueller,19,1,1283
Lucio,Batz,19,11,699
Darron,Bogisich,18,13,993
Makenna,Wilderman,21,6,537
